year,opex_specific_variable
2022,1.0
2023,0.9946222270056954
2024,0.9892444540113908
2025,0.9838666810170864
2026,0.9759575775241136
2027,0.9680484740311408
2028,0.9601393705381678
2029,0.9522302670451952
2030,0.9443211635522224
2031,0.9394657145937154
2032,0.9346102656352084
2033,0.9297548166767018
2034,0.9248993677181948
2035,0.9200439187596878
2036,0.915232333062426
2037,0.9104207473651637
2038,0.9056091616679014
2039,0.9007975759706393
2040,0.8959859902733771
2041,0.8927387608803442
2042,0.8894915314873115
2043,0.8862443020942784
2044,0.8829970727012456
2045,0.8797498433082127
2046,0.8767726140528057
2047,0.8737953847973986
2048,0.8708181555419915
2049,0.8678409262865844
2050,0.8648636970311774
