year,opex_specific_variable
2022,1.0
2023,0.9990411129018536
2024,0.9980822258037074
2025,0.9971233387055612
2026,0.9957031585930748
2027,0.9942829784805882
2028,0.9928627983681017
2029,0.9914426182556152
2030,0.9900224381431288
2031,0.9876801770806208
2032,0.9853379160181128
2033,0.9829956549556048
2034,0.9806533938930968
2035,0.9783111328305888
2036,0.9746861221622056
2037,0.9710611114938226
2038,0.9674361008254392
2039,0.963811090157056
2040,0.9601860794886732
2041,0.9559912668198872
2042,0.951796454151101
2043,0.9476016414823152
2044,0.9434068288135292
2045,0.9392120161447434
2046,0.93604285791481
2047,0.932873699684877
2048,0.9297045414549436
2049,0.9265353832250106
2050,0.9233662249950774
