node,year_construction,capacity_existing
AT,2010,0.0005414663761673
AT,2013,0.0001804887920557
AT,2015,0.0012724459839932
AT,2016,0.000281562515607
AT,2017,0.0011822015879653
AT,2018,0.008708584216691
AT,2019,0.0096832236937922
AT,2020,0.0355513821046944
AT,2021,0.0203255287308105
BE,2010,0.0007980280893757
BE,2013,0.0002660093631252
BE,2015,0.0018753660100329
BE,2016,0.0004149746064753
BE,2017,0.0017423613284703
BE,2018,0.0128349517707929
BE,2019,0.0142714023316692
BE,2020,0.0523966081448954
BE,2021,0.0299563252171134
BG,2021,0.0008561511565986
CH,2010,0.0005149023637513
CH,2013,0.0001716341212504
CH,2015,0.0012100205548155
CH,2016,0.0002677492291506
CH,2017,0.0011242034941903
CH,2018,0.0082813463503336
CH,2019,0.0092081706050859
CH,2020,0.0338072528342491
CH,2021,0.0193283706036725
CZ,2021,0.0015353116276472
DE,2009,0.0013
DE,2012,0.00131
DE,2013,0.03152
DE,2014,0.05683
DE,2015,0.08335
DE,2016,0.27506
DE,2017,0.25664
DE,2018,0.3475299999999999
DE,2019,0.347
DE,2020,0.678
DE,2021,0.93
DK,2006,1.2009028790334349e-05
DK,2011,4.003009596778117e-06
DK,2021,0.0036507447522616
EL,2021,0.0069
ES,2005,0.0008305990780613
ES,2012,0.002408737326378
ES,2013,0.0017940940086125
ES,2016,0.0036878599065925
ES,2017,0.0014120184327043
ES,2018,0.0008305990780613
ES,2019,0.0041529953903069
ES,2020,0.0058141935464296
ES,2021,0.0451108990963335
FI,2006,2.939394929531894e-05
FI,2011,9.797983098439649e-06
FI,2021,0.0089357605857769
FR,2009,0.001
FR,2012,0.0038
FR,2013,0.002
FR,2014,0.0061099999999999
FR,2015,0.00955
FR,2016,0.0098
FR,2017,0.0218
FR,2018,0.012
FR,2019,0.033
FR,2020,0.027
FR,2021,0.1913652
HU,2021,0.0010268101866287
IE,2006,1.0304563472323976e-05
IE,2011,3.434854490774659e-06
IE,2021,0.0031325872955864
IT,2011,0.001
IT,2012,0.00248
IT,2013,0.00031
IT,2014,0.04401
IT,2015,0.057
IT,2016,0.012
IT,2017,0.0215
IT,2018,0.035
IT,2019,0.049
IT,2020,0.065
IT,2021,0.2184
LT,2006,4.674086783841443e-06
LT,2011,1.558028927947148e-06
LT,2021,0.0014209223822877
LU,2010,4.704952518926758e-05
LU,2013,1.5683175063089193e-05
LU,2015,0.0001105663841947
LU,2016,2.4465753098419123e-05
LU,2017,0.0001027247966632
LU,2018,0.000756713196794
LU,2019,0.0008414023421347
LU,2020,0.0030891588498769
LU,2021,0.0017661419399197
LV,2006,2.616899037840058e-06
LV,2011,8.722996792800193e-07
LV,2021,0.0007955373075033
NL,2010,0.0010985536455163
NL,2013,0.0003661845485054
NL,2015,0.0025816010669634
NL,2016,0.0005712478956685
NL,2017,0.0023985087927107
NL,2018,0.0176684044653883
NL,2019,0.0196458010273177
NL,2020,0.0721283945472339
NL,2021,0.0412374335084838
NO,2006,4.386738552120881e-05
NO,2011,1.4622461840402938e-05
NO,2021,0.0133356851984474
PL,2021,0.0044574048564898
PT,2005,0.0001694009219386
PT,2012,0.0004912626736219
PT,2013,0.0003659059913874
PT,2016,0.0007521400934074
PT,2017,0.0002879815672956
PT,2018,0.0001694009219386
PT,2019,0.000847004609693
PT,2020,0.0011858064535703
PT,2021,0.0092003809036664
RO,2021,0.0016411313700801
SE,2006,4.713408709913243e-05
SE,2011,1.5711362366377477e-05
SE,2021,0.0143287624781362
SK,2021,0.0007330922810005
UK,2011,0.0005
UK,2012,0.0005
UK,2013,0.01121
UK,2014,0.0065
UK,2015,0.00049
UK,2016,0.0337699999999999
UK,2017,0.250233834556
UK,2018,0.2188
UK,2019,0.4938
UK,2020,0.29368
UK,2021,0.4968936
